"churn_status"	"session_length_seconds"	"session_count"	"event_count"	"closed_session_event_count"	"open_session_event_count"	"quest_completed_event_count"	"store_purchase_event_count"	"active_days"
"113"	"Stayed"	27800	37	376	76	75	45	1	9
"114"	"Churned"	3144	29	135	34	34	9	0	20
"115"	"Churned"	5954	11	141	15	15	12	3	3
"116"	"Churned"	340	1	14	2	2	0	0	1
"117"	"Stayed"	5470	14	157	19	19	14	0	8
"118"	"Stayed"	1365	1	19	3	3	1	0	1
"119"	"Stayed"	27364	173	987	197	197	124	1	30
"120"	"Stayed"	104737	341	1695	455	449	147	7	55
"121"	"Churned"	510	1	23	2	2	15	0	1
"122"	"Churned"	24438	117	617	154	154	121	3	19
"123"	"Churned"	6681	12	132	17	15	12	1	7
"124"	"Churned"	4294	3	150	5	5	18	0	2
"125"	"Stayed"	2233	1	27	3	3	4	0	1
"126"	"Stayed"	24382	137	716	164	167	11	4	43
"127"	"Churned"	59077	136	1339	187	185	421	8	36
"128"	"Churned"	12673	21	284	39	43	57	0	6
"129"	"Churned"	4208	2	42	3	3	10	1	2
"130"	"Churned"	6	1	4	1	1	0	0	1
"131"	"Stayed"	44648	155	838	256	255	61	9	41
"132"	"Churned"	111345	295	2266	420	418	272	6	39
"133"	"Churned"	21257	22	296	30	29	58	0	9
"134"	"Churned"	5040	16	148	19	19	18	0	11
"135"	"Stayed"	1950	5	32	11	11	0	0	1
"136"	"Churned"	19962	49	390	91	91	44	5	15
"137"	"Churned"	1827	3	37	5	5	6	0	2
"138"	"Stayed"	50	2	8	2	2	0	0	2
"139"	"Stayed"	199051	211	2887	498	496	1068	14	29
"140"	"Stayed"	135015	152	2608	332	332	575	0	26
"141"	"Churned"	54	1	6	2	2	0	0	1
"142"	"Stayed"	137459	165	2071	332	331	123	37	22
"143"	"Churned"	116	1	7	2	2	0	0	1
"144"	"Churned"	1650	3	37	8	8	2	0	3
"145"	"Churned"	94181	82	1274	274	275	39	5	12
"146"	"Stayed"	187066	176	4592	353	354	2789	52	44
"147"	"Stayed"	25351	56	492	98	98	54	5	18
"148"	"Stayed"	378	1	8	2	2	0	0	1
"149"	"Stayed"	4855	10	127	18	18	10	0	2
"150"	"Stayed"	9934	21	287	27	25	86	0	7
"151"	"Churned"	162	4	19	5	5	1	0	3
"152"	"Stayed"	162517	305	3275	498	494	1204	7	54
"153"	"Stayed"	55305	218	1219	267	266	112	16	49
"154"	"Stayed"	3135	3	48	4	4	5	0	1
"155"	"Stayed"	29127	52	579	75	76	108	1	23
"156"	"Stayed"	16411	55	455	63	65	98	2	12
"157"	"Stayed"	94096	94	2359	483	483	623	1	27
"158"	"Churned"	22199	65	552	95	96	170	0	29
"159"	"Churned"	3522	7	123	11	11	15	0	4
"160"	"Stayed"	2542	9	86	17	16	10	0	7
"161"	"Stayed"	27211	19	584	53	54	186	1	3
"162"	"Stayed"	49791	92	1123	195	194	123	1	37
"163"	"Churned"	763	3	31	8	7	5	0	1
"164"	"Stayed"	20607	30	521	42	42	59	2	14
"165"	"Churned"	29260	95	811	144	144	32	2	17
"166"	"Churned"	2285	2	68	5	5	12	0	2
"167"	"Stayed"	16370	16	206	29	28	40	0	6
"168"	"Churned"	145	1	7	2	2	0	0	1
"169"	"Stayed"	587	4	39	6	6	1	0	2
"170"	"Stayed"	14211	39	336	60	58	39	2	30
"171"	"Stayed"	57490	83	967	187	187	104	1	18
"172"	"Stayed"	1208	8	38	7	8	0	0	8
"173"	"Stayed"	171608	279	3032	478	475	1200	6	54
"174"	"Churned"	53774	196	1069	286	286	65	8	34
"175"	"Stayed"	3347	6	61	17	15	0	0	4
"176"	"Churned"	785	2	13	4	4	0	0	2
"177"	"Churned"	10	1	6	2	2	0	0	1
"178"	"Churned"	11422	12	213	22	20	19	1	5
"179"	"Churned"	7723	43	282	59	60	19	0	26
"180"	"Churned"	5733	7	262	18	17	16	0	3
"181"	"Churned"	599	2	24	3	3	3	0	1
"182"	"Stayed"	233253	383	5394	1730	1720	291	2	55
"183"	"Churned"	232	2	19	5	5	1	0	2
"184"	"Churned"	34371	32	839	64	63	360	3	7
"185"	"Stayed"	35082	127	746	168	166	59	22	46
"186"	"Churned"	30	1	4	1	1	0	0	1
"187"	"Stayed"	2762	11	57	12	11	2	0	11
"188"	"Churned"	1565	2	39	4	4	2	0	2
"189"	"Churned"	3231	11	81	14	14	4	0	7
"190"	"Stayed"	4417	6	89	9	9	25	0	6
"191"	"Churned"	135	2	12	3	3	0	0	2
"192"	"Stayed"	13573	11	203	34	35	13	0	4
"193"	"Stayed"	6985	15	104	18	18	17	0	11
"194"	"Stayed"	13459	11	223	32	31	28	0	5
"195"	"Churned"	286	2	12	3	3	0	0	2
"196"	"Stayed"	849	2	28	6	6	8	0	2
"197"	"Stayed"	2689	3	56	4	4	6	0	3
"198"	"Churned"	3	1	4	1	1	0	0	1
"199"	"Stayed"	2289	2	79	1	2	15	0	1
"200"	"Stayed"	16566	18	319	37	35	153	2	12
"201"	"Stayed"	65568	123	1387	250	247	363	7	40
"202"	"Churned"	930	2	29	3	3	5	0	2
"203"	"Churned"	4237	11	70	19	19	0	1	8
"204"	"Churned"	966	1	24	3	3	1	0	1
"205"	"Stayed"	3076	4	55	8	8	11	0	2
"206"	"Stayed"	79323	320	2377	369	366	889	4	55
"207"	"Stayed"	9237	26	186	29	29	40	0	20
"208"	"Stayed"	17872	95	469	107	106	18	6	38
"209"	"Stayed"	8374	25	152	38	34	20	0	5
"210"	"Churned"	1541	3	64	8	7	5	0	3
"211"	"Stayed"	80594	393	2094	489	484	179	4	55
"212"	"Stayed"	9140	37	268	67	67	18	2	22
"213"	"Churned"	1697	5	41	8	8	9	1	3
"214"	"Churned"	511	5	22	5	5	0	0	5
"215"	"Churned"	10673	28	241	39	38	16	1	16
"216"	"Churned"	2095	5	111	10	10	14	0	4
"217"	"Churned"	955	1	19	3	3	0	0	1
"218"	"Stayed"	19002	41	420	73	71	52	0	15
"219"	"Churned"	442	1	8	2	2	0	0	1
"220"	"Stayed"	62376	196	1436	220	218	318	0	27
"221"	"Churned"	3904	2	57	4	4	5	0	2
"222"	"Stayed"	42172	114	1263	131	132	220	9	34
"223"	"Churned"	275	1	5	1	1	0	0	1
"224"	"Stayed"	256515	242	4320	289	281	2224	30	49
"225"	"Stayed"	113477	94	1541	166	167	504	2	13
"226"	"Churned"	3442	6	130	11	11	14	0	3
"227"	"Stayed"	1893	2	22	4	5	4	0	2
"228"	"Churned"	1110	3	39	4	4	11	0	3
"229"	"Stayed"	2796	3	71	5	5	12	1	1
"230"	"Churned"	7299	38	233	46	43	34	0	19
"231"	"Stayed"	108798	177	1244	293	296	136	10	20
"232"	"Churned"	2738	5	63	7	7	4	0	3
"233"	"Stayed"	25103	33	495	72	69	146	0	21
"234"	"Churned"	545	5	21	5	5	0	0	5
"235"	"Churned"	2435	1	42	5	5	7	0	1
"236"	"Stayed"	117834	140	2317	338	336	817	4	28
"237"	"Churned"	4424	5	131	10	9	15	0	5
"238"	"Churned"	18814	101	640	109	109	172	0	36
"239"	"Churned"	3424	14	77	22	21	1	0	8
"240"	"Churned"	3064	5	85	8	8	10	0	3
"241"	"Churned"	9	1	6	2	2	0	0	1
"242"	"Churned"	598	3	21	5	5	0	0	1
"243"	"Stayed"	51607	119	1085	196	194	41	7	20
"244"	"Stayed"	118210	226	1539	344	341	116	5	40
"245"	"Stayed"	7364	18	91	20	19	0	0	13
"246"	"Stayed"	23861	50	472	84	88	26	1	9
"247"	"Stayed"	668	1	18	2	1	1	0	1
"248"	"Churned"	18509	60	473	83	82	106	0	26
"249"	"Stayed"	29633	100	705	120	120	80	10	28
"250"	"Stayed"	3723	14	341	16	14	32	0	12
"251"	"Stayed"	32732	68	789	204	204	48	1	16
"252"	"Churned"	54678	60	858	108	107	237	0	10
"253"	"Stayed"	90469	188	1964	305	305	622	20	27
"254"	"Churned"	8	1	3	1	1	0	0	1
"255"	"Churned"	10	2	9	2	2	0	0	2
"256"	"Stayed"	18357	16	603	38	37	69	3	8
"257"	"Stayed"	69071	208	1401	307	302	213	21	36
"258"	"Stayed"	13378	9	179	30	30	19	0	3
"259"	"Stayed"	112000	296	2607	448	444	224	74	55
"260"	"Stayed"	31563	35	754	91	90	227	7	13
"261"	"Stayed"	26557	62	608	81	79	202	0	32
"262"	"Stayed"	1337	5	68	6	6	8	0	4
"263"	"Churned"	98	1	4	1	1	0	0	1
"264"	"Stayed"	347668	156	4723	1064	1066	612	12	14
"265"	"Stayed"	2935	6	98	15	15	9	0	4
"266"	"Churned"	137	1	6	2	2	0	0	1
"267"	"Stayed"	886	1	29	2	2	6	0	1
"268"	"Churned"	9350	21	128	31	31	6	0	19
"269"	"Stayed"	11644	31	234	56	56	4	0	16
"270"	"Churned"	6422	7	89	16	16	8	1	1
"271"	"Stayed"	280472	210	9995	374	372	7768	25	55
"272"	"Stayed"	23433	58	447	94	95	74	5	25
"273"	"Churned"	663	1	20	2	2	3	0	1
"274"	"Stayed"	58056	161	1487	214	211	214	20	28
"275"	"Churned"	5126	10	108	20	20	8	0	5
"276"	"Churned"	1177	4	45	7	7	3	0	3
"277"	"Churned"	535	1	23	4	4	1	0	1
"278"	"Churned"	4	2	10	2	2	0	0	2
"279"	"Churned"	562	4	24	5	5	1	0	2
"280"	"Stayed"	457	3	23	4	3	2	0	3
"281"	"Stayed"	10035	14	214	30	30	23	3	7
"282"	"Stayed"	45945	152	1360	215	215	448	7	48
"283"	"Stayed"	63846	201	2200	673	522	17	18	53
"284"	"Stayed"	85666	115	1670	318	319	96	5	30
"285"	"Churned"	580	3	22	8	8	0	0	1
"286"	"Stayed"	29837	9	892	56	56	345	11	2
"287"	"Churned"	435498	426	10118	568	566	5833	8	47
"288"	"Stayed"	263646	346	3084	837	837	241	8	52
"289"	"Stayed"	140318	444	2742	721	720	202	27	55
"290"	"Churned"	106729	87	1708	228	226	499	3	28
"291"	"Churned"	9761	15	278	21	21	39	0	10
"292"	"Churned"	7222	11	164	20	18	23	1	8
"293"	"Stayed"	6264	6	83	17	17	4	0	6
"294"	"Stayed"	25256	180	1185	225	228	165	24	52
"295"	"Churned"	257	1	13	2	2	0	0	1
"296"	"Stayed"	9100	26	286	38	37	36	3	6
"297"	"Stayed"	14507	96	492	112	111	34	4	50
"298"	"Stayed"	18178	92	417	112	111	12	3	43
"299"	"Churned"	10324	19	228	36	35	22	0	10
"300"	"Stayed"	31	8	34	8	8	0	0	8
"301"	"Stayed"	1030	6	53	7	7	3	0	5
"302"	"Stayed"	304080	210	6702	507	505	4144	60	52
"303"	"Churned"	8747	58	283	63	63	50	2	17
"304"	"Churned"	801	1	31	3	3	8	0	1
"305"	"Churned"	3	1	4	1	1	0	0	1
"306"	"Stayed"	24190	57	478	90	90	44	2	19
"307"	"Stayed"	64226	186	1751	266	265	587	1	50
"308"	"Churned"	2990	5	93	7	7	15	0	4
"309"	"Stayed"	5235	7	121	13	9	26	0	3
"310"	"Churned"	533	3	15	4	4	0	0	2
"311"	"Stayed"	18528	56	490	64	64	40	7	15
"312"	"Churned"	7269	8	164	12	11	20	0	4
"313"	"Churned"	1335	3	68	4	4	7	0	3
"314"	"Stayed"	25448	176	779	202	202	23	0	48
"315"	"Churned"	3636	6	105	13	14	17	0	4
"316"	"Stayed"	31042	64	872	116	116	118	1	10
"317"	"Stayed"	19973	26	723	55	53	32	1	7
"318"	"Churned"	5454	14	174	21	21	18	0	8
"319"	"Stayed"	18107	50	478	70	69	34	5	28
"320"	"Churned"	578	2	24	3	3	2	0	2
"321"	"Stayed"	75970	170	1276	257	254	107	13	42
"322"	"Churned"	6849	12	178	21	21	25	0	11
"323"	"Churned"	65	1	4	1	1	0	0	1
"324"	"Stayed"	26597	99	1004	155	154	81	6	35
"325"	"Stayed"	38909	125	1063	176	179	43	11	33
"326"	"Stayed"	179257	289	2880	409	408	832	5	33
"327"	"Churned"	821	1	19	2	2	1	0	1
"328"	"Stayed"	167	2	26	8	8	0	0	2
"329"	"Churned"	180	1	3	1	0	0	0	1
"330"	"Stayed"	85544	239	2034	391	389	222	3	54
"331"	"Churned"	159	2	9	2	2	0	0	2
"332"	"Churned"	4685	11	80	14	14	12	1	10
"333"	"Stayed"	12331	28	305	38	38	29	1	10
"334"	"Stayed"	150876	92	3001	220	222	1354	7	25
"335"	"Stayed"	22508	81	642	124	125	76	31	20
"336"	"Churned"	29	1	5	1	1	0	0	1
"337"	"Churned"	676	1	31	3	3	6	0	1
"338"	"Churned"	103	1	5	1	1	0	0	1
"339"	"Stayed"	44079	19	879	21	20	326	0	11
"340"	"Churned"	126335	197	1627	280	275	140	15	39
"341"	"Stayed"	12078	23	220	33	31	84	0	19
"342"	"Stayed"	666	5	25	7	7	3	0	4
"343"	"Churned"	713	5	25	7	7	0	0	3
"344"	"Stayed"	54563	137	792	175	173	60	6	48
"345"	"Stayed"	18847	7	358	8	7	206	2	5
"346"	"Stayed"	1711	2	35	3	2	1	0	2
"347"	"Stayed"	7209	5	251	44	44	20	0	1
"348"	"Stayed"	22060	70	534	94	89	31	0	31
"349"	"Churned"	72	1	4	1	1	0	0	1
"350"	"Stayed"	90736	234	1868	298	298	518	11	55
"351"	"Churned"	209	1	5	1	1	0	0	1
"352"	"Churned"	247	1	10	3	3	0	0	1
"353"	"Churned"	5629	8	78	14	14	9	2	5
"354"	"Stayed"	22909	80	750	89	91	84	1	17
"355"	"Stayed"	4321	19	168	24	24	16	0	12
"356"	"Stayed"	213908	418	3167	645	637	741	11	55
"357"	"Stayed"	43619	51	579	88	80	60	0	17
"358"	"Churned"	441	1	18	2	2	1	0	1
"359"	"Stayed"	1704	1	27	4	4	1	0	1
"360"	"Churned"	19348	135	616	153	153	0	4	32
"361"	"Churned"	3133	1	99	4	4	12	0	1
"362"	"Stayed"	1241	1	12	3	1	0	0	1
"363"	"Churned"	40292	58	750	102	97	130	1	23
"364"	"Churned"	388	1	15	2	1	1	0	1
"365"	"Churned"	157	1	13	5	5	0	0	1
"366"	"Stayed"	18153	37	449	64	64	172	2	19
"367"	"Stayed"	86089	263	1770	316	318	84	15	54
"368"	"Stayed"	201490	251	3169	397	390	1058	6	43
"369"	"Churned"	112	1	6	2	2	0	0	1
"370"	"Stayed"	14119	29	433	54	54	36	0	15
"371"	"Churned"	1131	2	21	7	7	0	0	2
"372"	"Churned"	1225	7	40	12	12	0	0	3
"373"	"Churned"	29888	23	529	46	45	51	1	4
"374"	"Churned"	624	1	28	2	2	6	0	1
"375"	"Churned"	3	1	4	1	1	0	0	1
"376"	"Churned"	663	1	11	3	3	0	0	1
"377"	"Churned"	2255	6	71	10	10	7	0	3
"378"	"Stayed"	3	1	4	1	1	0	0	1
"379"	"Churned"	558	1	26	2	2	2	0	1
"380"	"Churned"	133	2	8	2	2	0	0	2
"381"	"Stayed"	5709	23	188	38	38	14	0	10
"382"	"Stayed"	79847	57	1378	150	151	557	1	13
"383"	"Churned"	1754	1	14	3	3	0	0	1
"384"	"Stayed"	205431	601	5157	757	757	2150	18	55
"385"	"Stayed"	154822	245	3156	418	415	1198	16	35
"386"	"Stayed"	3323	14	74	15	15	1	0	11
"387"	"Churned"	2115	1	71	2	2	10	1	1
"388"	"Churned"	33394	43	456	75	70	34	0	15
"389"	"Churned"	193	3	14	3	3	0	0	3
"390"	"Churned"	2304	1	85	5	5	7	0	1
"391"	"Stayed"	118870	409	2076	544	541	71	35	55
"392"	"Stayed"	4741	10	108	16	16	11	2	3
"393"	"Churned"	490	1	21	4	4	1	0	1
"394"	"Stayed"	123179	214	2718	306	307	1224	18	29
"395"	"Churned"	12401	2	322	27	26	140	0	1
"396"	"Churned"	24824	50	798	67	64	67	5	25
"397"	"Churned"	754	3	18	4	3	1	0	2
"398"	"Churned"	4111	6	95	9	9	9	0	3
"399"	"Stayed"	8988	20	262	36	36	24	2	12
"400"	"Churned"	9196	25	177	41	41	24	0	13
"401"	"Stayed"	34338	73	665	112	113	125	1	12
"402"	"Churned"	14169	22	312	47	47	24	0	7
"403"	"Stayed"	10182	24	321	34	33	49	0	13
"404"	"Churned"	9376	37	290	50	50	30	0	9
"405"	"Stayed"	130035	103	4216	200	195	2653	4	42
"406"	"Stayed"	419265	476	5202	1258	1245	668	84	55
"407"	"Churned"	8773	13	150	19	18	25	1	6
"408"	"Stayed"	39044	165	1996	203	202	307	7	52
"409"	"Churned"	52840	60	871	139	138	238	2	9
"410"	"Stayed"	7124	9	287	20	19	30	0	2
"411"	"Churned"	838	1	25	5	5	3	0	1
"412"	"Churned"	347	1	16	3	3	0	0	1
"413"	"Stayed"	12747	95	456	102	102	15	3	45
"414"	"Churned"	7019	5	127	8	8	19	0	5
"415"	"Stayed"	6859	5	145	17	17	15	0	3
"416"	"Churned"	1169	2	34	11	11	0	0	1
"417"	"Stayed"	83006	187	1939	328	341	330	4	30
"418"	"Churned"	427	4	20	5	5	0	0	3
"419"	"Stayed"	32429	64	680	92	91	147	11	31
"420"	"Churned"	3051	3	86	4	3	11	1	3
"421"	"Stayed"	1550	3	23	3	3	5	0	2
"422"	"Stayed"	185093	262	2893	824	826	161	1	40
"423"	"Churned"	612	2	11	3	2	0	0	2
"424"	"Churned"	4653	3	83	5	5	19	0	3
"425"	"Churned"	5946	13	165	21	20	14	0	5
"426"	"Stayed"	90695	189	1622	364	364	69	8	36
"427"	"Churned"	254	1	7	2	2	0	0	1
"428"	"Stayed"	344604	385	4863	620	618	1634	21	39
"429"	"Stayed"	2032	3	61	3	3	8	0	2
"430"	"Churned"	7920	23	245	29	29	39	0	5
"431"	"Stayed"	45209	93	1039	144	145	77	3	18
"432"	"Churned"	2203	9	53	12	10	0	0	8
"433"	"Churned"	23437	28	419	62	62	36	3	13
"434"	"Churned"	10253	18	157	23	21	49	1	11
"435"	"Stayed"	16915	33	247	60	57	8	1	17
"436"	"Churned"	7507	3	138	12	12	12	0	1
"437"	"Stayed"	193809	212	4866	559	557	1890	5	30
"438"	"Churned"	16894	34	384	53	53	22	3	9
"439"	"Churned"	2281	3	68	5	5	9	0	1
"440"	"Stayed"	38306	168	938	214	213	66	2	25
"441"	"Churned"	7026	18	170	31	31	9	1	10
"442"	"Stayed"	100096	144	2203	354	353	283	9	20
"443"	"Stayed"	53356	104	1282	160	157	209	25	13
"444"	"Churned"	9443	24	334	31	31	96	0	14
"445"	"Stayed"	2142	2	37	3	3	6	0	1
"446"	"Churned"	7554	11	194	24	24	25	0	4
"447"	"Stayed"	22096	34	375	89	89	63	1	4
"448"	"Stayed"	14184	42	355	49	49	61	4	20
"449"	"Stayed"	9211	26	245	29	28	29	1	11
"450"	"Stayed"	93305	269	2827	322	322	786	5	40
"451"	"Stayed"	69578	105	1291	156	146	571	10	41
"452"	"Stayed"	2487	6	75	17	17	13	0	5
"453"	"Churned"	1	1	4	1	1	0	0	1
"454"	"Churned"	295	1	5	2	1	0	0	1
"455"	"Stayed"	33673	187	942	221	221	142	5	38
"456"	"Churned"	2691	11	94	19	19	10	0	6
"457"	"Churned"	14	2	6	1	1	0	0	2
"458"	"Stayed"	52199	116	1033	174	173	191	5	41
"459"	"Stayed"	40115	80	1450	98	96	245	0	30
"460"	"Stayed"	5203	4	124	20	20	23	0	4
"461"	"Churned"	1947	7	86	9	9	8	0	6
"462"	"Stayed"	5033	15	118	29	29	6	0	7
"463"	"Churned"	6203	7	227	9	9	26	0	3
"464"	"Stayed"	59480	140	993	209	208	42	11	25
"465"	"Stayed"	287610	622	4216	921	911	540	12	55
"466"	"Churned"	1126	4	42	9	9	3	0	2
"467"	"Churned"	939	2	36	5	5	6	0	2
"468"	"Churned"	37749	69	692	155	154	78	12	27
"469"	"Churned"	2885	3	23	5	5	2	0	3
"470"	"Churned"	4946	15	84	20	20	1	1	11
"471"	"Churned"	7122	11	184	22	22	17	2	5
"472"	"Churned"	2617	3	41	5	5	5	0	2
"473"	"Churned"	6994	12	164	21	21	15	1	5
"474"	"Churned"	134800	228	4220	632	632	1707	19	29
"475"	"Stayed"	124564	111	2349	273	270	1308	1	27
"476"	"Stayed"	1140	5	63	8	8	9	0	4
"477"	"Stayed"	10952	25	268	41	42	25	2	13
"478"	"Churned"	1083	2	18	4	4	0	3	1
"479"	"Churned"	13	1	7	2	2	0	0	1
"480"	"Stayed"	11820	4	126	9	6	20	0	4
"481"	"Stayed"	41019	114	1267	245	244	74	13	38
"482"	"Churned"	110109	108	3006	214	211	1703	2	20
"483"	"Stayed"	16079	54	339	79	76	11	5	28
"484"	"Stayed"	16670	62	344	74	74	24	0	23
"485"	"Stayed"	152952	211	4076	610	589	1106	57	40
"486"	"Stayed"	3	1	4	1	1	0	0	1
"487"	"Stayed"	652	1	20	3	3	2	0	1
"488"	"Churned"	603	2	23	4	4	1	0	1
"489"	"Churned"	7582	14	152	19	19	14	0	5
"490"	"Churned"	1	1	4	1	1	0	0	1
"491"	"Stayed"	20547	38	458	49	46	102	29	20
"492"	"Churned"	2307	10	43	12	12	0	0	8
"493"	"Stayed"	5	1	5	1	1	0	0	1
"494"	"Churned"	807	3	70	6	6	1	0	3
"495"	"Churned"	372	3	23	4	4	1	0	1
"496"	"Stayed"	22513	89	661	138	138	25	126	36
"497"	"Stayed"	14268	62	335	83	84	30	0	12
"498"	"Churned"	4016	13	148	17	17	19	0	4
"499"	"Churned"	7312	61	276	71	70	5	4	26
"500"	"Churned"	1322	3	41	4	4	6	0	1
"501"	"Churned"	2918	8	59	9	9	12	0	4
"502"	"Churned"	40924	77	840	230	230	51	2	17
